# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.528240e+01 4.035705e-07 -1.879556e-26) (1.150755e-01 7.759508e-10 6.344558e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.625307e-18 -3.638391e-19 -1.100465e-17) (-3.377588e-21 -2.584812e-20 -1.153587e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((3.907560e-01 -4.069783e-07 1.003189e-26) (1.073191e-01 -1.657903e-10 -6.772146e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.211543e-20 -9.042271e-21 1.600045e-18) (-8.114197e-22 -8.601285e-21 -1.510199e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.584513e-01 4.735110e-08 -1.470034e-27) (1.034969e-01 -1.728551e-11 -6.164511e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.681705e-20 -3.810237e-21 7.733411e-19) (-9.676802e-22 -7.990741e-21 1.323590e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.146486e-01 3.743021e-10 1.200309e-27) (1.004216e-01 -2.021989e-11 -6.432813e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.216340e-20 -2.756726e-21 -6.479802e-20) (-9.439908e-22 -7.724637e-21 1.041716e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((9.859686e-02 -7.324104e-09 -4.472416e-28) (9.770124e-02 -4.825986e-11 -6.720933e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.045893e-20 -2.370139e-21 2.979438e-19) (-9.136170e-22 -7.514690e-21 7.086378e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((9.131870e-02 -2.062381e-08 -4.571906e-30) (9.521636e-02 -2.431758e-11 -7.032202e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.676324e-21 -2.196103e-21 -2.313194e-19) (-8.826963e-22 -7.329597e-21 2.755029e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((8.743350e-02 4.870418e-08 -1.363570e-27) (9.290869e-02 1.676434e-10 -7.363112e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.258128e-21 -2.107089e-21 2.306577e-19) (-8.528430e-22 -7.159332e-21 3.873009e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((8.497334e-02 -5.920813e-09 8.301298e-28) (9.074409e-02 2.073336e-10 -7.710959e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.993377e-21 -2.053727e-21 7.406244e-20) (-8.248558e-22 -6.999659e-21 4.507960e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((8.315290e-02 2.383990e-09 -3.810689e-28) (8.869994e-02 2.583260e-10 -8.072992e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.790357e-21 -2.014627e-21 3.255783e-19) (-7.989637e-22 -6.848603e-21 4.799732e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((8.162925e-02 7.013175e-10 -5.702146e-28) (8.676005e-02 2.928253e-10 -8.448410e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.616907e-21 -1.980521e-21 5.376542e-19) (-7.751485e-22 -6.704878e-21 4.813436e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
